City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
496,Vila Franca Do Campo,PT,63.01,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
497,Khash,IR,57.43,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
499,Gaya,IN,51.71,mist,24.7833,85.0,Hotel Viraat Inn Gaya
500,Fortuna,US,50.94,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
505,Lamont,US,67.8,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
508,Eureka,US,51.21,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
509,Kodinar,IN,65.05,clear sky,20.7903,70.7031,residency of N.B vadhel
512,Coihaique,CL,70.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
513,Necochea,AR,63.03,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
524,Christchurch,NZ,53.91,light intensity drizzle,-43.5333,172.6333,The George
530,Sandila,IN,53.51,clear sky,27.0833,80.5167,"Celebration Lawn, Phase 1, Sandila"
534,Gasa,PS,55.38,overcast clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
536,Leon,MX,63.95,scattered clouds,21.1167,-101.6667,ENTERPRISE INN POLIFORUM
538,Mahon,ES,54.16,scattered clouds,39.8885,4.2658,ARTIEM Capri
549,Marawi,PH,67.64,scattered clouds,7.9986,124.2928,Derogongan Residence
554,Manjeshwar,IN,74.35,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
556,Nepa Nagar,IN,65.73,clear sky,21.4667,76.4,Rest House Hilltop
558,Arlit,NE,70.59,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
568,Tuatapere,NZ,50.83,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
571,San Jose,US,59.59,broken clouds,37.3394,-121.895,The Westin San Jose
573,Gushikawa,JP,58.23,overcast clouds,26.3544,127.8686,Kirari Guest House
581,Mandapeta,IN,68.16,broken clouds,16.8667,81.9333,Sri satyanarayana vilas kokas Lodge
583,Kavos,GR,52.14,few clouds,38.8268,22.8322,Kavos Villa
584,San Rafael,AR,59.7,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
585,Tamworth,GB,50.32,light rain,52.634,-1.6959,Drayton Manor Hotel
586,Ramona,US,64.42,clear sky,33.0417,-116.8681,Ramona Terrace Estates
587,Ormara,PK,71.87,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
600,Nushki,PK,62.1,clear sky,29.5542,66.0215,Shams hotel
606,Samarkand,UZ,53.02,light rain,39.6542,66.9597,Ideal Hotel
607,San Luis,AR,67.24,overcast clouds,-33.295,-66.3356,Huarpes Hotel
616,Bure,ET,62.87,overcast clouds,10.7,37.0667,Holiday
618,Payo,ID,72.64,overcast clouds,-3.7508,103.6372,Mess keban agung
619,Byron Bay,AU,66.15,light rain,-28.65,153.6167,Backpackers Inn
620,Pozo Colorado,PY,74.03,moderate rain,-23.4923,-58.7972,Hospedaje la Amistad
622,Filiatra,GR,55.69,broken clouds,37.15,21.5833,Hotel Limenari
626,Jalu,LY,58.24,clear sky,29.0331,21.5482,صاحبة الفخامة
627,Barcelos,PT,59.92,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
634,Alice Springs,AU,58.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
635,Matara,LK,74.41,clear sky,5.9485,80.5353,Amaloh Boutique Resort
645,Dayal Bagh,IN,51.33,clear sky,27.2167,78.0167,OYO 19459 Hotel The Kamta
646,Faya,SA,57.31,clear sky,18.3851,42.4509,املاك خالد الشعشوع
659,Waitati,NZ,50.81,few clouds,-45.75,170.5667,Arden Country House BnB Dunedin
662,Jinotega,NI,72.88,scattered clouds,13.0917,-86.0018,Camping Piedra Grande
676,Sao Bras De Alportel,PT,63.28,clear sky,37.1531,-7.8875,Casa Kalu
679,Denia,ES,57.85,overcast clouds,38.8408,0.1057,Hotel Port Dénia
687,Santa Cruz,BO,74.66,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
689,Jodhpur,IN,63.3,clear sky,26.2867,73.03,"Umaid Bhawan Palace, Jodhpur"
691,Isla Vista,US,67.84,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
699,Mountain View,US,59.56,haze,37.3861,-122.0838,Residence Inn by Marriott Palo Alto Mountain View
701,Celestun,MX,74.34,overcast clouds,20.8667,-90.4,Posada Lilia
702,Tome,CL,72.21,clear sky,-36.6167,-72.95,Hotel Saint Denis
712,Yerraguntla,IN,74.21,broken clouds,14.6372,78.5395,M Y R Lodge
713,Serenje,ZM,61.68,overcast clouds,-13.2325,30.2352,The Kabaso's
714,Praia Da Vitoria,PT,61.75,broken clouds,38.7333,-27.0667,Hotel Branco I
716,Spring Hill,US,64.9,overcast clouds,28.4769,-82.5255,Room of The world By traveline Plus
