City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Canutama,BR,-6.5339,-64.3831,85.23,63,99,3.94,overcast clouds
149,Ribeira Grande,PT,38.5167,-28.7,63.0,67,75,10.36,broken clouds
150,Sistranda,NO,63.7256,8.834,35.56,75,83,13.2,broken clouds
151,Grand-Santi,GF,4.25,-54.3833,80.71,89,77,3.4,broken clouds
152,Kungurtug,RU,50.5994,97.5228,-12.8,97,53,1.59,broken clouds
153,Santiago Del Estero,AR,-27.7951,-64.2615,90.7,34,4,9.13,clear sky
154,Walvis Bay,NA,-22.9575,14.5053,70.75,73,9,5.75,light rain
155,Kristiinankaupunki,FI,62.2743,21.376,18.37,97,32,5.64,scattered clouds
156,Mount Gambier,AU,-37.8333,140.7667,60.71,77,100,6.91,overcast clouds
157,Lagoa,PT,39.05,-27.9833,58.55,79,53,17.13,broken clouds
158,Amga,RU,60.8953,131.9608,-21.23,100,100,1.25,overcast clouds
159,Avera,US,33.194,-82.5271,49.91,43,20,7.85,few clouds
160,Buala,SB,-8.145,159.5921,80.82,83,92,6.82,overcast clouds
161,Kefalos,GR,36.7453,26.9589,52.02,54,20,3.44,few clouds
162,Concepcion,CL,-36.827,-73.0498,73.2,49,0,13.8,clear sky
163,Severo-Kurilsk,RU,50.6789,156.125,28.35,84,100,11.23,light snow
164,Caravelas,BR,-17.7125,-39.2481,81.55,70,42,10.02,scattered clouds
165,Mayo,US,38.8876,-76.5119,34.16,48,0,17.0,clear sky
166,Verkhniy Lomov,RU,53.4678,43.5511,9.19,99,93,5.73,light snow
167,New Norfolk,AU,-42.7826,147.0587,58.66,62,100,0.83,overcast clouds
168,Tarakan,ID,3.3,117.6333,78.3,94,75,2.3,broken clouds
169,Kautokeino,NO,69.0125,23.0412,24.21,92,99,25.64,overcast clouds
170,Alyangula,AU,-13.8483,136.4192,78.67,100,40,0.0,scattered clouds
171,Naryan-Mar,RU,67.6713,53.087,-7.17,98,79,9.8,broken clouds
172,Wanning,CN,18.8003,110.3967,66.18,84,99,10.33,overcast clouds
173,Beisfjord,NO,68.3751,17.5988,35.65,78,100,13.53,light rain
174,Arua,UG,3.0201,30.9111,74.07,23,100,6.46,overcast clouds
175,Bulungu,CD,-4.55,18.6,75.47,76,23,2.82,few clouds
176,Santa Maria,BR,-29.6842,-53.8069,72.7,88,75,9.22,broken clouds
177,Tiksi,RU,71.6872,128.8694,-22.4,98,97,7.47,overcast clouds
178,Griffith,US,41.5284,-87.4237,19.89,66,100,3.0,overcast clouds
179,Sorong,ID,-0.8833,131.25,80.94,82,100,14.41,overcast clouds
180,Leningradskiy,RU,69.3833,178.4167,-20.99,96,9,4.79,clear sky
181,Altamira,BR,-3.2033,-52.2064,87.89,70,75,3.44,broken clouds
182,Chuy,UY,-33.6971,-53.4616,79.72,59,84,10.0,broken clouds
183,Manuk Mangkaw,PH,4.8,119.85,81.19,79,100,10.78,overcast clouds
184,Agadir,MA,30.4202,-9.5982,77.45,48,98,6.46,overcast clouds
185,Bubaque,GW,11.2833,-15.8333,78.94,64,0,15.48,clear sky
186,Ust-Nera,RU,64.5667,143.2,-23.22,65,13,0.69,few clouds
187,Veraval,IN,20.9,70.3667,67.12,67,4,6.82,clear sky
188,Andenes,NO,69.3143,16.1194,33.08,74,98,30.8,light snow
189,Patrocinio,BR,-18.9439,-46.9925,80.96,71,100,4.83,overcast clouds
190,Blackwater,AU,-23.5833,148.8833,68.22,65,58,15.05,broken clouds
191,Mae Sot,TH,16.7167,98.5667,67.68,96,84,0.27,broken clouds
192,Egvekinot,RU,66.3167,-179.1667,-10.52,86,9,13.44,clear sky
193,Torbay,CA,47.6666,-52.7314,49.75,95,100,24.16,light rain
194,College,US,64.8569,-147.8028,1.35,77,75,3.44,broken clouds
195,Labuhan,ID,-6.8844,112.2051,78.33,87,100,7.16,overcast clouds
196,Hirara,JP,24.8,125.2833,60.91,70,100,19.71,overcast clouds
197,Catamarca,AR,-28.4696,-65.7852,86.05,62,9,7.0,clear sky
198,The Valley,AI,18.217,-63.0578,82.26,73,40,14.97,scattered clouds
199,Dubbo,AU,-32.25,148.6167,59.13,77,100,9.22,overcast clouds
200,Tambovka,RU,50.0969,128.0489,1.51,100,87,3.56,overcast clouds
201,Skibbereen,IE,51.55,-9.2667,51.12,83,100,31.5,overcast clouds
