City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Thompson,CA,2022-01-26 19:07:14,55.7435,-97.8558,7.27,86,100,14.0
149,Ginda,IN,2022-01-26 19:07:15,30.6945,78.4932,35.35,57,97,4.97
150,Maniwaki,CA,2022-01-26 19:07:15,46.3834,-75.966,1.49,75,90,2.51
151,Aranos,NA,2022-01-26 19:07:16,-24.1333,19.1167,86.72,19,55,8.84
152,Mutis,CO,2022-01-26 19:03:14,6.2262,-77.4044,80.78,82,100,4.74
153,Mae Sai,TH,2022-01-26 19:07:16,20.4335,99.8762,61.9,80,3,2.08
154,Warangal,IN,2022-01-26 19:07:17,18.0,79.5833,62.56,47,0,8.9
155,Kodiak,US,2022-01-26 19:07:04,57.79,-152.4072,33.31,80,100,11.5
156,Fomboni,KM,2022-01-26 19:07:17,-12.28,43.7425,81.82,72,100,14.36
157,Mongo,TD,2022-01-26 19:07:18,12.1844,18.693,76.59,19,5,7.67
158,Tame,CO,2022-01-26 19:07:18,6.461,-71.73,92.52,35,100,8.88
159,Dungarpur,IN,2022-01-26 19:07:18,23.8333,73.7167,54.39,42,0,6.62
160,Rusape,ZW,2022-01-26 19:07:19,-18.5278,32.1284,63.16,95,100,5.21
161,Jiaohe,CN,2022-01-26 19:07:19,43.7286,127.3447,-5.03,100,84,2.01
162,Gopalpur,IN,2022-01-26 19:07:20,19.2667,84.9167,70.3,79,0,4.45
163,Krasnyy Chikoy,RU,2022-01-26 19:07:20,50.3643,108.7512,-15.25,100,78,1.7
164,Naze,JP,2022-01-26 19:07:21,28.3667,129.4833,60.21,70,57,5.21
165,Sao Geraldo Do Araguaia,BR,2022-01-26 19:07:21,-6.4006,-48.555,83.23,77,100,1.39
166,Fare,PF,2022-01-26 19:07:22,-16.7,-151.0167,81.1,76,86,18.28
167,Oktyabrskiy,RU,2022-01-26 19:07:22,54.4815,53.471,16.63,95,100,8.41
168,Gravdal,NO,2022-01-26 19:03:10,68.1214,13.5031,35.49,93,75,2.3
169,Concepcion Del Oro,MX,2022-01-26 19:07:23,24.6333,-101.4167,61.0,30,31,8.95
170,Tripoli,LY,2022-01-26 19:05:30,32.8752,13.1875,55.11,59,86,8.77
171,Zhuzhou,CN,2022-01-26 19:07:23,27.8333,113.15,40.21,96,100,7.52
172,Saint-Philippe,RE,2022-01-26 19:07:24,-21.3585,55.7679,72.99,71,80,8.68
173,Pangkalanbuun,ID,2022-01-26 19:07:24,-2.6833,111.6167,76.26,92,100,3.47
174,Imuris,MX,2022-01-26 19:07:24,30.7833,-110.8667,60.53,24,100,0.43
175,Le Port,RE,2022-01-26 19:07:25,-20.9373,55.2919,73.4,67,62,0.94
176,Hithadhoo,MV,2022-01-26 19:07:25,-0.6,73.0833,81.5,73,100,19.62
177,Naryan-Mar,RU,2022-01-26 19:07:26,67.6713,53.087,6.26,94,70,14.29
178,Mehamn,NO,2022-01-26 19:03:09,71.0357,27.8492,28.58,88,98,17.34
179,Northam,GB,2022-01-26 19:07:26,51.0333,-4.2167,48.02,82,92,10.49
180,Codrington,AU,2022-01-26 19:06:13,-38.2667,141.9667,67.17,91,16,5.08
181,Chimbote,PE,2022-01-26 19:07:27,-9.0853,-78.5783,76.68,67,39,11.48
182,Kemin,KG,2022-01-26 19:07:27,42.7846,75.6892,19.58,60,0,7.25
183,Port Alfred,ZA,2022-01-26 19:07:28,-33.5906,26.891,73.0,87,97,10.87
184,Aklavik,CA,2022-01-26 19:07:28,68.2191,-135.0107,-2.76,99,100,5.21
185,Bayan,CN,2022-01-26 19:07:28,46.0833,127.4,-3.55,99,100,4.25
186,Mount Isa,AU,2022-01-26 19:07:29,-20.7333,139.5,74.97,100,40,5.75
187,Qurayyat,SA,2022-01-26 19:08:30,31.3318,37.3428,44.47,72,61,21.3
188,Hualmay,PE,2022-01-26 19:08:30,-11.0964,-77.6139,75.67,72,61,11.45
189,Mataura,NZ,2022-01-26 19:08:30,-46.1927,168.8643,51.48,98,38,3.09
190,El Campo,US,2022-01-26 19:08:31,29.1966,-96.2697,54.82,62,100,5.75
191,Kieta,PG,2022-01-26 19:08:31,-6.2167,155.6333,79.32,83,100,1.77
192,Saint Anthony,US,2022-01-26 19:08:32,45.0205,-93.218,15.84,67,20,5.99
193,Mackenzie,CA,2022-01-26 19:08:32,55.2999,-123.1698,23.7,94,100,2.93
194,Sitka,US,2022-01-26 19:08:32,57.0531,-135.33,33.69,86,75,5.75
195,Leningradskiy,RU,2022-01-26 19:08:33,69.3833,178.4167,-27.58,88,32,3.2
196,Kavieng,PG,2022-01-26 19:08:33,-2.5744,150.7967,82.42,77,85,7.78
197,Horizonte,BR,2022-01-26 19:08:33,-4.1,-38.4833,86.54,66,91,10.13
198,Acajutla,SV,2022-01-26 19:08:34,13.5928,-89.8275,97.14,63,37,8.68
199,La Cumbre,AR,2022-01-26 19:08:34,-30.982,-64.4914,76.1,67,99,11.01
200,Beringovskiy,RU,2022-01-26 19:08:35,63.05,179.3167,-7.2,100,100,2.62
201,Hasaki,JP,2022-01-26 19:08:35,35.7333,140.8333,27.0,74,15,5.12
202,Saldanha,ZA,2022-01-26 19:08:35,-33.0117,17.9442,64.89,92,12,21.7
203,Verkhnyaya Inta,RU,2022-01-26 19:08:36,65.9811,60.3094,11.16,87,100,12.3
204,Lagoa,PT,2022-01-26 19:08:36,39.05,-27.9833,58.55,78,6,12.03
205,Vardo,NO,2022-01-26 19:05:57,70.3705,31.1107,19.6,79,17,27.63
